onset	duration	gain	loss	RT
4.052	4	15	6	2.369
10.935	4	8	5	1.856
16.432	4	18	18	2.266
21.832	4	19	8	1.339
27.532	4	6	7	1.855
34.432	4	17	11	1.545
43.533	4	17	12	3.296
51.933	4	16	7	2.059
60.833	4	5	17	2.061
70.133	4	10	19	2.472
80.033	4	13	16	2.575
85.833	4	6	13	2.368
90.833	4	5	19	2.059
98.534	4	8	14	2.06
103.635	4	10	8	0
109.236	4	6	9	1.751
116.834	4	18	6	1.237
122.334	4	8	11	3.4
131.134	4	12	6	1.752
139.234	4	5	7	1.855
146.734	4	16	18	0
155.834	4	18	16	0
162.534	4	11	17	3.09
168.435	4	11	14	0
177.735	4	9	6	0
185.135	4	19	12	2.059
190.735	4	15	7	1.134
196.835	4	19	17	2.989
205.836	4	14	11	1.957
213.437	4	16	13	2.885
218.838	4	6	8	1.854
228.435	4	13	11	3.809
233.536	4	11	16	0
239.236	4	7	16	1.649
244.436	4	12	20	3.401
249.436	4	7	12	1.751
255.236	4	14	10	1.545
263.429	4	19	16	2.471
268.63	4	9	12	1.854
273.831	4	19	13	3.092
280.033	4	19	6	1.855
287.034	4	5	20	2.06
294.836	4	12	12	2.574
302.22	4	15	18	2.574
307.821	4	17	19	1.957
316.722	4	11	13	2.162
324.123	4	12	5	1.545
333.025	4	14	15	2.68
339.126	4	14	17	1.751
347.028	4	12	10	2.679
353.128	4	19	15	2.06
359.13	4	13	14	1.958
365.731	4	18	8	1.546
371.932	4	16	19	0
379.533	4	10	9	2.574
389.235	4	8	9	2.267
394.738	4	9	19	1.854
400.221	4	14	6	1.751
408.222	4	20	19	2.369
414.823	4	9	16	2.161
420.524	4	6	15	2.058
427.025	4	8	17	2.369
433.226	4	20	12	2.883
441.027	4	16	10	1.646
