onset	duration	gain	loss	RT	participant_response
4.05	4	32	14	3.092	weakly_accept
10.133	4	38	14	0	NoResp
16.633	4	10	18	1.855	strongly_reject
21.732	4	32	12	2.885	weakly_accept
27.133	4	24	13	2.062	weakly_reject
32.933	4	28	20	2.884	weakly_reject
40.334	4	22	19	2.06	weakly_reject
45.935	4	40	18	2.368	weakly_reject
51.336	4	38	9	2.987	weakly_accept
57.033	4	24	17	2.265	weakly_reject
65.833	4	38	20	1.649	strongly_reject
70.833	4	12	9	2.37	strongly_reject
79.733	4	28	5	1.854	strongly_accept
87.433	4	10	10	2.059	weakly_reject
96.534	4	22	10	2.576	weakly_reject
103.434	4	38	15	2.268	weakly_accept
108.634	4	32	20	2.472	strongly_reject
115.334	4	14	6	3.812	weakly_accept
122.934	4	30	17	1.958	weakly_reject
129.935	4	14	9	2.163	weakly_reject
137.938	4	32	5	1.857	strongly_accept
144.535	4	16	17	2.06	strongly_reject
150.236	4	34	14	2.984	weakly_reject
158.335	4	20	15	1.751	weakly_reject
167.235	4	10	7	2.882	weakly_reject
175.435	4	20	5	2.988	strongly_accept
181.435	4	36	7	2.985	weakly_accept
189.835	4	20	7	0	NoResp
195.937	4	28	8	2.368	weakly_reject
201.435	4	28	9	3.61	weakly_reject
206.635	4	40	12	3.295	weakly_reject
215.636	4	12	19	2.059	strongly_reject
223.235	4	24	9	2.472	weakly_reject
230.635	4	22	11	2.473	weakly_reject
236.736	4	30	8	0	NoResp
242.636	4	36	10	1.959	weakly_reject
252.538	4	20	9	1.959	weakly_reject
258.739	4	38	19	1.647	weakly_reject
267.636	4	36	12	2.369	weakly_reject
277.225	4	16	5	2.163	weakly_accept
285.127	4	38	6	1.957	strongly_accept
290.628	4	10	15	2.162	strongly_reject
296.829	4	18	20	2.783	strongly_reject
306.131	4	34	19	2.37	strongly_reject
311.933	4	34	13	1.957	weakly_reject
319.733	4	30	14	1.752	weakly_reject
325.334	4	20	8	1.75	weakly_reject
330.837	4	26	16	2.471	weakly_reject
338.421	4	12	10	2.06	strongly_reject
345.321	4	16	16	1.749	weakly_reject
350.822	4	36	8	3.099	weakly_accept
356.023	4	18	14	1.955	weakly_reject
362.624	4	16	13	1.649	weakly_reject
370.025	4	10	20	3.716	strongly_reject
379.727	4	32	13	2.989	weakly_reject
387.228	4	16	6	2.886	weakly_accept
392.932	4	24	14	2.057	weakly_reject
399.13	4	22	8	2.265	weakly_reject
408.432	4	26	9	1.96	weakly_reject
417.533	4	20	20	2.471	weakly_reject
425.335	4	34	8	3.294	weakly_accept
430.436	4	28	17	1.854	weakly_reject
435.422	4	30	10	2.678	weakly_reject
441.022	4	14	14	1.236	weakly_reject
