Filename,Participant,Run,Trials Designated NoResp,Trials with RT == 0,Behaviour in File
sub-001_task-MGT_run-01_events.tsv,1,1,1,1,True
sub-001_task-MGT_run-02_events.tsv,1,2,0,0,True
sub-001_task-MGT_run-03_events.tsv,1,3,0,0,True
sub-001_task-MGT_run-04_events.tsv,1,4,0,0,True
sub-002_task-MGT_run-01_events.tsv,2,1,0,0,True
sub-002_task-MGT_run-02_events.tsv,2,2,0,0,True
sub-002_task-MGT_run-03_events.tsv,2,3,0,0,True
sub-002_task-MGT_run-04_events.tsv,2,4,0,0,True
sub-003_task-MGT_run-01_events.tsv,3,1,1,1,True
sub-003_task-MGT_run-02_events.tsv,3,2,6,6,True
sub-003_task-MGT_run-03_events.tsv,3,3,0,0,True
sub-003_task-MGT_run-04_events.tsv,3,4,3,3,True
sub-004_task-MGT_run-01_events.tsv,4,1,2,2,True
sub-004_task-MGT_run-02_events.tsv,4,2,0,0,True
sub-004_task-MGT_run-03_events.tsv,4,3,2,2,True
sub-004_task-MGT_run-04_events.tsv,4,4,0,0,True
sub-005_task-MGT_run-01_events.tsv,5,1,0,0,True
sub-005_task-MGT_run-02_events.tsv,5,2,0,0,True
sub-005_task-MGT_run-03_events.tsv,5,3,0,0,True
sub-005_task-MGT_run-04_events.tsv,5,4,0,0,True
sub-006_task-MGT_run-01_events.tsv,6,1,0,0,True
sub-006_task-MGT_run-02_events.tsv,6,2,0,0,True
sub-006_task-MGT_run-03_events.tsv,6,3,0,0,True
sub-006_task-MGT_run-04_events.tsv,6,4,0,0,True
sub-008_task-MGT_run-01_events.tsv,8,1,0,0,True
sub-008_task-MGT_run-02_events.tsv,8,2,0,0,True
sub-008_task-MGT_run-03_events.tsv,8,3,0,0,True
sub-008_task-MGT_run-04_events.tsv,8,4,0,0,True
sub-009_task-MGT_run-01_events.tsv,9,1,1,1,True
sub-009_task-MGT_run-02_events.tsv,9,2,0,0,True
sub-009_task-MGT_run-03_events.tsv,9,3,0,0,True
sub-009_task-MGT_run-04_events.tsv,9,4,0,0,True
sub-010_task-MGT_run-01_events.tsv,10,1,3,3,True
sub-010_task-MGT_run-02_events.tsv,10,2,0,0,True
sub-010_task-MGT_run-03_events.tsv,10,3,1,1,True
sub-010_task-MGT_run-04_events.tsv,10,4,0,0,True
sub-011_task-MGT_run-01_events.tsv,11,1,0,0,True
sub-011_task-MGT_run-02_events.tsv,11,2,0,0,True
sub-011_task-MGT_run-03_events.tsv,11,3,0,0,True
sub-011_task-MGT_run-04_events.tsv,11,4,0,0,True
sub-013_task-MGT_run-01_events.tsv,13,1,0,0,True
sub-013_task-MGT_run-02_events.tsv,13,2,0,0,True
sub-013_task-MGT_run-03_events.tsv,13,3,0,0,True
sub-013_task-MGT_run-04_events.tsv,13,4,0,0,True
sub-014_task-MGT_run-01_events.tsv,14,1,0,0,True
sub-014_task-MGT_run-02_events.tsv,14,2,0,0,True
sub-014_task-MGT_run-03_events.tsv,14,3,0,0,True
sub-014_task-MGT_run-04_events.tsv,14,4,0,0,True
sub-015_task-MGT_run-01_events.tsv,15,1,0,0,True
sub-015_task-MGT_run-02_events.tsv,15,2,1,1,True
sub-015_task-MGT_run-03_events.tsv,15,3,0,0,True
sub-015_task-MGT_run-04_events.tsv,15,4,0,0,True
sub-016_task-MGT_run-01_events.tsv,16,1,1,1,True
sub-016_task-MGT_run-02_events.tsv,16,2,0,0,True
sub-016_task-MGT_run-03_events.tsv,16,3,0,0,True
sub-016_task-MGT_run-04_events.tsv,16,4,0,0,True
sub-017_task-MGT_run-01_events.tsv,17,1,0,0,True
sub-017_task-MGT_run-02_events.tsv,17,2,1,1,True
sub-017_task-MGT_run-03_events.tsv,17,3,0,0,True
sub-017_task-MGT_run-04_events.tsv,17,4,0,0,True
sub-018_task-MGT_run-01_events.tsv,18,1,0,0,True
sub-018_task-MGT_run-02_events.tsv,18,2,1,1,True
sub-018_task-MGT_run-03_events.tsv,18,3,0,0,True
sub-018_task-MGT_run-04_events.tsv,18,4,0,0,True
sub-019_task-MGT_run-01_events.tsv,19,1,0,0,True
sub-019_task-MGT_run-02_events.tsv,19,2,0,0,True
sub-019_task-MGT_run-03_events.tsv,19,3,1,1,True
sub-019_task-MGT_run-04_events.tsv,19,4,0,0,True
sub-020_task-MGT_run-01_events.tsv,20,1,1,1,True
sub-020_task-MGT_run-02_events.tsv,20,2,2,2,True
sub-020_task-MGT_run-03_events.tsv,20,3,2,2,True
sub-020_task-MGT_run-04_events.tsv,20,4,0,0,True
sub-021_task-MGT_run-01_events.tsv,21,1,0,0,True
sub-021_task-MGT_run-02_events.tsv,21,2,0,0,True
sub-021_task-MGT_run-03_events.tsv,21,3,0,0,True
sub-021_task-MGT_run-04_events.tsv,21,4,0,0,True
sub-022_task-MGT_run-01_events.tsv,22,1,0,0,True
sub-022_task-MGT_run-02_events.tsv,22,2,0,0,True
sub-022_task-MGT_run-03_events.tsv,22,3,0,0,True
sub-022_task-MGT_run-04_events.tsv,22,4,1,1,True
sub-024_task-MGT_run-01_events.tsv,24,1,1,1,True
sub-024_task-MGT_run-02_events.tsv,24,2,0,0,True
sub-024_task-MGT_run-03_events.tsv,24,3,0,0,True
sub-024_task-MGT_run-04_events.tsv,24,4,0,0,True
sub-025_task-MGT_run-01_events.tsv,25,1,0,0,True
sub-025_task-MGT_run-02_events.tsv,25,2,0,0,True
sub-025_task-MGT_run-03_events.tsv,25,3,0,0,True
sub-025_task-MGT_run-04_events.tsv,25,4,0,0,True
sub-026_task-MGT_run-01_events.tsv,26,1,1,1,True
sub-026_task-MGT_run-02_events.tsv,26,2,6,6,True
sub-026_task-MGT_run-03_events.tsv,26,3,6,6,True
sub-026_task-MGT_run-04_events.tsv,26,4,3,3,True
sub-027_task-MGT_run-01_events.tsv,27,1,0,0,True
sub-027_task-MGT_run-02_events.tsv,27,2,0,0,True
sub-027_task-MGT_run-03_events.tsv,27,3,0,0,True
sub-027_task-MGT_run-04_events.tsv,27,4,0,0,True
sub-029_task-MGT_run-01_events.tsv,29,1,0,0,True
sub-029_task-MGT_run-02_events.tsv,29,2,0,0,True
sub-029_task-MGT_run-03_events.tsv,29,3,0,0,True
sub-029_task-MGT_run-04_events.tsv,29,4,0,0,True
sub-030_task-MGT_run-01_events.tsv,30,1,0,0,True
sub-030_task-MGT_run-02_events.tsv,30,2,0,0,True
sub-030_task-MGT_run-03_events.tsv,30,3,0,0,True
sub-030_task-MGT_run-04_events.tsv,30,4,0,0,True
sub-032_task-MGT_run-01_events.tsv,32,1,0,0,True
sub-032_task-MGT_run-02_events.tsv,32,2,1,1,True
sub-032_task-MGT_run-03_events.tsv,32,3,0,0,True
sub-032_task-MGT_run-04_events.tsv,32,4,0,0,True
sub-033_task-MGT_run-01_events.tsv,33,1,3,3,True
sub-033_task-MGT_run-02_events.tsv,33,2,0,0,True
sub-033_task-MGT_run-03_events.tsv,33,3,0,0,True
sub-033_task-MGT_run-04_events.tsv,33,4,0,0,True
sub-035_task-MGT_run-01_events.tsv,35,1,0,0,True
sub-035_task-MGT_run-02_events.tsv,35,2,0,0,True
sub-035_task-MGT_run-03_events.tsv,35,3,0,0,True
sub-035_task-MGT_run-04_events.tsv,35,4,0,0,True
sub-036_task-MGT_run-01_events.tsv,36,1,1,1,True
sub-036_task-MGT_run-02_events.tsv,36,2,3,3,True
sub-036_task-MGT_run-03_events.tsv,36,3,2,2,True
sub-036_task-MGT_run-04_events.tsv,36,4,2,2,True
sub-037_task-MGT_run-01_events.tsv,37,1,2,2,True
sub-037_task-MGT_run-02_events.tsv,37,2,2,2,True
sub-037_task-MGT_run-03_events.tsv,37,3,2,2,True
sub-037_task-MGT_run-04_events.tsv,37,4,3,3,True
sub-038_task-MGT_run-01_events.tsv,38,1,0,0,True
sub-038_task-MGT_run-02_events.tsv,38,2,0,0,True
sub-038_task-MGT_run-03_events.tsv,38,3,0,0,True
sub-038_task-MGT_run-04_events.tsv,38,4,0,0,True
sub-039_task-MGT_run-01_events.tsv,39,1,0,0,True
sub-039_task-MGT_run-02_events.tsv,39,2,0,0,True
sub-039_task-MGT_run-03_events.tsv,39,3,0,0,True
sub-039_task-MGT_run-04_events.tsv,39,4,0,0,True
sub-040_task-MGT_run-01_events.tsv,40,1,0,0,True
sub-040_task-MGT_run-02_events.tsv,40,2,0,0,True
sub-040_task-MGT_run-03_events.tsv,40,3,0,0,True
sub-040_task-MGT_run-04_events.tsv,40,4,0,0,True
sub-041_task-MGT_run-01_events.tsv,41,1,0,0,True
sub-041_task-MGT_run-02_events.tsv,41,2,0,0,True
sub-041_task-MGT_run-03_events.tsv,41,3,0,0,True
sub-041_task-MGT_run-04_events.tsv,41,4,0,0,True
sub-043_task-MGT_run-01_events.tsv,43,1,0,0,True
sub-043_task-MGT_run-02_events.tsv,43,2,0,0,True
sub-043_task-MGT_run-03_events.tsv,43,3,0,0,True
sub-043_task-MGT_run-04_events.tsv,43,4,0,0,True
sub-044_task-MGT_run-01_events.tsv,44,1,0,0,True
sub-044_task-MGT_run-02_events.tsv,44,2,0,0,True
sub-044_task-MGT_run-03_events.tsv,44,3,0,0,True
sub-044_task-MGT_run-04_events.tsv,44,4,0,0,True
sub-045_task-MGT_run-01_events.tsv,45,1,1,1,True
sub-045_task-MGT_run-02_events.tsv,45,2,1,1,True
sub-045_task-MGT_run-03_events.tsv,45,3,0,0,True
sub-045_task-MGT_run-04_events.tsv,45,4,0,0,True
sub-046_task-MGT_run-01_events.tsv,46,1,1,1,True
sub-046_task-MGT_run-02_events.tsv,46,2,0,0,True
sub-046_task-MGT_run-03_events.tsv,46,3,0,0,True
sub-046_task-MGT_run-04_events.tsv,46,4,0,0,True
sub-047_task-MGT_run-01_events.tsv,47,1,1,1,True
sub-047_task-MGT_run-02_events.tsv,47,2,1,1,True
sub-047_task-MGT_run-03_events.tsv,47,3,1,1,True
sub-047_task-MGT_run-04_events.tsv,47,4,3,3,True
sub-048_task-MGT_run-02_events.tsv,48,2,0,7,False
sub-048_task-MGT_run-03_events.tsv,48,3,0,1,False
sub-049_task-MGT_run-01_events.tsv,49,1,1,1,True
