trial,onset,duration,gain,loss,RT,participant_response,ID,run,risk,use,accept,group,gender,age
1,4.071000000000001,4,14,6,2.388,weakly_accept,1,1,7.615773105863909,True,1,equalIndifference,M,24.0
2,11.834000000000001,4,34,14,2.289,strongly_accept,1,1,18.384776310850235,True,1,equalIndifference,M,24.0
3,19.535,4,34,13,1.8730000000000002,strongly_accept,1,1,18.200274723201296,True,1,equalIndifference,M,24.0
4,27.535,4,10,10,1.4569999999999999,weakly_reject,1,1,7.0710678118654755,True,0,equalIndifference,M,24.0
5,36.435,4,12,19,1.973,strongly_reject,1,1,11.236102527122116,True,0,equalIndifference,M,24.0
6,43.935,4,20,8,1.767,weakly_accept,1,1,10.770329614269007,True,1,equalIndifference,M,24.0
7,50.535,4,28,9,1.561,strongly_accept,1,1,14.705441169852742,True,1,equalIndifference,M,24.0
8,59.836999999999996,4,20,15,2.289,weakly_accept,1,1,12.5,True,1,equalIndifference,M,24.0
9,65.83800000000001,4,10,7,2.287,weakly_accept,1,1,6.103277807866851,True,1,equalIndifference,M,24.0
10,71.539,4,16,6,2.08,weakly_accept,1,1,8.54400374531753,True,1,equalIndifference,M,24.0
11,80.436,4,16,5,1.871,weakly_accept,1,1,8.381527307120106,True,1,equalIndifference,M,24.0
12,89.736,4,10,15,2.08,strongly_reject,1,1,9.013878188659973,True,0,equalIndifference,M,24.0
13,95.236,4,16,17,2.2880000000000003,weakly_reject,1,1,11.672617529928752,True,0,equalIndifference,M,24.0
14,100.336,4,20,9,2.807,weakly_accept,1,1,10.965856099730654,True,1,equalIndifference,M,24.0
15,105.52799999999999,4,24,13,2.08,weakly_accept,1,1,13.647344063956181,True,1,equalIndifference,M,24.0
16,113.13600000000001,4,18,20,1.8719999999999999,weakly_reject,1,1,13.45362404707371,True,0,equalIndifference,M,24.0
17,122.131,4,22,10,2.3930000000000002,strongly_accept,1,1,12.083045973594572,True,1,equalIndifference,M,24.0
18,128.232,4,38,14,2.079,strongly_accept,1,1,20.248456731316587,True,1,equalIndifference,M,24.0
19,135.634,4,38,9,1.4580000000000002,strongly_accept,1,1,19.525624189766635,True,1,equalIndifference,M,24.0
20,141.237,4,28,5,1.766,strongly_accept,1,1,14.221462653327892,True,1,equalIndifference,M,24.0
21,148.137,4,32,20,2.495,weakly_accept,1,1,18.867962264113206,True,1,equalIndifference,M,24.0
22,155.12,4,32,13,2.806,weakly_accept,1,1,17.269916039170543,True,1,equalIndifference,M,24.0
23,163.52100000000002,4,14,9,3.2230000000000003,weakly_accept,1,1,8.32165848854662,True,1,equalIndifference,M,24.0
24,171.423,4,32,5,1.454,strongly_accept,1,1,16.194134740701646,True,1,equalIndifference,M,24.0
25,178.824,4,20,7,2.803,weakly_accept,1,1,10.594810050208546,True,1,equalIndifference,M,24.0
26,188.726,4,36,8,2.287,strongly_accept,1,1,18.439088914585774,True,1,equalIndifference,M,24.0
27,195.42700000000002,4,30,8,2.806,strongly_accept,1,1,15.524174696260024,True,1,equalIndifference,M,24.0
28,200.528,4,28,8,2.597,strongly_accept,1,1,14.560219778561036,True,1,equalIndifference,M,24.0
29,207.02900000000002,4,24,17,2.392,weakly_accept,1,1,14.705441169852742,True,1,equalIndifference,M,24.0
30,213.93099999999998,4,26,16,1.9780000000000002,weakly_accept,1,1,15.264337522473747,True,1,equalIndifference,M,24.0
31,220.13099999999997,4,38,6,1.349,strongly_accept,1,1,19.235384061671343,True,1,equalIndifference,M,24.0
32,229.033,4,30,14,2.9139999999999997,weakly_accept,1,1,16.55294535724685,True,1,equalIndifference,M,24.0
33,234.53400000000002,4,36,7,1.456,strongly_accept,1,1,18.33712082089225,True,1,equalIndifference,M,24.0
34,239.735,4,14,14,2.185,weakly_reject,1,1,9.899494936611665,True,0,equalIndifference,M,24.0
35,247.138,4,26,9,3.116,strongly_accept,1,1,13.756816492197604,True,1,equalIndifference,M,24.0
36,253.222,4,40,18,3.1189999999999998,strongly_accept,1,1,21.93171219946131,True,1,equalIndifference,M,24.0
37,262.322,4,24,14,2.077,weakly_accept,1,1,13.892443989449804,True,1,equalIndifference,M,24.0
38,271.42400000000004,4,36,10,1.56,strongly_accept,1,1,18.681541692269406,True,1,equalIndifference,M,24.0
39,276.825,4,16,16,1.976,weakly_reject,1,1,11.313708498984761,True,0,equalIndifference,M,24.0
40,285.026,4,20,20,2.7,weakly_reject,1,1,14.142135623730951,True,0,equalIndifference,M,24.0
